,Symbols,file,url
0,6178.T,./graph_html/6178_20220114.html,http://trade-ganbaru.conohawing.com/wp-content/uploads/2022/01/6178_20220114.html
1,8001.T,./graph_html/8001_20220114.html,http://trade-ganbaru.conohawing.com/wp-content/uploads/2022/01/8001_20220114.html
2,8306.T,./graph_html/8306_20220114.html,http://trade-ganbaru.conohawing.com/wp-content/uploads/2022/01/8306_20220114.html
3,9432.T,./graph_html/9432_20220114.html,http://trade-ganbaru.conohawing.com/wp-content/uploads/2022/01/9432_20220114.html
