Date,Attributes,Symbols,value
2021-06-16,Adj Close,7203.T,2011.4853515625
2021-06-17,Adj Close,7203.T,2022.358154296875
2021-06-18,Adj Close,7203.T,1943.8756103515625
2021-06-21,Adj Close,7203.T,1905.3262939453125
2021-06-22,Adj Close,7203.T,1968.982177734375
2021-06-23,Adj Close,7203.T,1933.7935791015625
2021-06-24,Adj Close,7203.T,1942.0965576171875
2021-06-25,Adj Close,7203.T,1947.0386962890625
2021-06-28,Adj Close,7203.T,1945.6549072265625
2021-06-29,Adj Close,7203.T,1925.4906005859375
2021-06-30,Adj Close,7203.T,1919.5599365234375
2021-07-01,Adj Close,7203.T,1915.606201171875
2021-07-02,Adj Close,7203.T,1941.3056640625
2021-07-05,Adj Close,7203.T,1931.816650390625
2021-07-06,Adj Close,7203.T,1936.1658935546875
2021-07-07,Adj Close,7203.T,1924.3045654296875
2021-07-08,Adj Close,7203.T,1912.640869140625
2021-07-09,Adj Close,7203.T,1907.6986083984375
2021-07-12,Adj Close,7203.T,1940.3172607421875
2021-07-13,Adj Close,7203.T,1950.20166015625
2021-07-14,Adj Close,7203.T,1950.9925537109375
2021-07-15,Adj Close,7203.T,1943.677978515625
2021-07-16,Adj Close,7203.T,1950.3994140625
2021-07-19,Adj Close,7203.T,1925.4906005859375
2021-07-20,Adj Close,7203.T,1900.1864013671875
2021-07-21,Adj Close,7203.T,1922.5252685546875
2021-07-26,Adj Close,7203.T,1943.0849609375
2021-07-27,Adj Close,7203.T,1951.3878173828125
2021-07-28,Adj Close,7203.T,1938.1427001953125
2021-07-29,Adj Close,7203.T,1948.4224853515625
2021-07-30,Adj Close,7203.T,1938.34033203125
2021-08-02,Adj Close,7203.T,1982.8204345703125
2021-08-03,Adj Close,7203.T,1987.7625732421875
2021-08-04,Adj Close,7203.T,1970.9591064453125
2021-08-05,Adj Close,7203.T,1967.796142578125
2021-08-06,Adj Close,7203.T,1944.8641357421875
2021-08-10,Adj Close,7203.T,1952.376220703125
2021-08-11,Adj Close,7203.T,1971.5521240234375
2021-08-12,Adj Close,7203.T,1968.982177734375
2021-08-13,Adj Close,7203.T,1969.9705810546875
2021-08-16,Adj Close,7203.T,1939.921875
2021-08-17,Adj Close,7203.T,1928.060546875
2021-08-18,Adj Close,7203.T,1922.5252685546875
2021-08-19,Adj Close,7203.T,1837.51904296875
2021-08-20,Adj Close,7203.T,1762.397216796875
2021-08-23,Adj Close,7203.T,1823.0877685546875
2021-08-24,Adj Close,7203.T,1832.97216796875
2021-08-25,Adj Close,7203.T,1874.88232421875
2021-08-26,Adj Close,7203.T,1879.4290771484375
2021-08-27,Adj Close,7203.T,1870.1376953125
2021-08-30,Adj Close,7203.T,1884.7667236328125
2021-08-31,Adj Close,7203.T,1896.232666015625
2021-09-01,Adj Close,7203.T,1908.093994140625
2021-09-02,Adj Close,7203.T,1907.6986083984375
2021-09-03,Adj Close,7203.T,1928.653564453125
2021-09-06,Adj Close,7203.T,1969.3775634765625
2021-09-07,Adj Close,7203.T,1977.878173828125
2021-09-08,Adj Close,7203.T,1972.3428955078125
2021-09-09,Adj Close,7203.T,1956.7254638671875
2021-09-10,Adj Close,7203.T,1968.7845458984375
2021-09-13,Adj Close,7203.T,1936.363525390625
2021-09-14,Adj Close,7203.T,1966.2144775390625
2021-09-15,Adj Close,7203.T,1952.376220703125
2021-09-16,Adj Close,7203.T,1965.0284423828125
2021-09-17,Adj Close,7203.T,1980.843505859375
2021-09-21,Adj Close,7203.T,1962.8538818359375
2021-09-22,Adj Close,7203.T,1941.3056640625
2021-09-24,Adj Close,7203.T,1996.6585693359375
2021-09-27,Adj Close,7203.T,2042.1270751953125
2021-09-28,Adj Close,7203.T,2053.0
2021-09-29,Adj Close,7203.T,2073.0
2021-09-30,Adj Close,7203.T,2000.0
2021-10-01,Adj Close,7203.T,1967.0
2021-10-04,Adj Close,7203.T,1932.0
2021-10-05,Adj Close,7203.T,1902.0
2021-10-06,Adj Close,7203.T,1840.0
2021-10-07,Adj Close,7203.T,1869.0
2021-10-08,Adj Close,7203.T,1923.0
2021-10-11,Adj Close,7203.T,1987.0
2021-10-12,Adj Close,7203.T,2002.5
2021-10-13,Adj Close,7203.T,1976.0
2021-10-14,Adj Close,7203.T,1985.5
2021-10-15,Adj Close,7203.T,1993.5
2021-10-18,Adj Close,7203.T,2040.0
2021-10-19,Adj Close,7203.T,2030.0
2021-10-20,Adj Close,7203.T,2031.5
2021-10-21,Adj Close,7203.T,1983.5
2021-10-22,Adj Close,7203.T,1983.5
2021-10-25,Adj Close,7203.T,1946.5
2021-10-26,Adj Close,7203.T,1980.0
2021-10-27,Adj Close,7203.T,2004.0
2021-10-28,Adj Close,7203.T,2000.0
2021-10-29,Adj Close,7203.T,2006.5
2021-11-01,Adj Close,7203.T,2050.0
2021-11-02,Adj Close,7203.T,2048.0
2021-11-04,Adj Close,7203.T,2063.0
2021-11-05,Adj Close,7203.T,2035.0
2021-11-08,Adj Close,7203.T,2028.0
2021-11-09,Adj Close,7203.T,1995.0
2021-11-10,Adj Close,7203.T,2005.5
2021-11-11,Adj Close,7203.T,2030.0
2021-11-12,Adj Close,7203.T,2078.5
2021-11-15,Adj Close,7203.T,2102.0
2021-11-16,Adj Close,7203.T,2141.5
2021-11-17,Adj Close,7203.T,2128.0
2021-11-18,Adj Close,7203.T,2124.5
2021-11-19,Adj Close,7203.T,2132.5
2021-11-22,Adj Close,7203.T,2105.0
2021-11-24,Adj Close,7203.T,2124.5
2021-11-25,Adj Close,7203.T,2112.0
2021-11-26,Adj Close,7203.T,2074.5
2021-11-29,Adj Close,7203.T,2012.0
2021-11-30,Adj Close,7203.T,2001.0
2021-12-01,Adj Close,7203.T,2045.5
2021-12-02,Adj Close,7203.T,2045.5
2021-12-03,Adj Close,7203.T,2079.0
2021-12-06,Adj Close,7203.T,2066.0
2021-12-07,Adj Close,7203.T,2105.0
2021-12-08,Adj Close,7203.T,2068.0
2021-12-09,Adj Close,7203.T,2056.5
2021-12-10,Adj Close,7203.T,2052.0
2021-12-13,Adj Close,7203.T,2002.0
2021-12-14,Adj Close,7203.T,2045.0
2021-12-15,Adj Close,7203.T,2118.5
2021-12-16,Adj Close,7203.T,2139.5
2021-12-17,Adj Close,7203.T,2102.5
2021-12-20,Adj Close,7203.T,2051.0
2021-12-21,Adj Close,7203.T,2070.5
2021-12-22,Adj Close,7203.T,2056.5
2021-12-23,Adj Close,7203.T,2096.5
2021-12-24,Adj Close,7203.T,2096.5
2021-12-27,Adj Close,7203.T,2108.0
2021-12-28,Adj Close,7203.T,2133.0
2021-12-29,Adj Close,7203.T,2110.5
2021-12-30,Adj Close,7203.T,2105.5
2022-01-04,Adj Close,7203.T,2234.5
2022-01-05,Adj Close,7203.T,2292.0
2022-01-06,Adj Close,7203.T,2284.5
2022-01-07,Adj Close,7203.T,2307.5
2021-01-12,Adj Close,6758.T,10796.896484375
2021-01-13,Adj Close,6758.T,10647.6298828125
2021-01-14,Adj Close,6758.T,10697.3857421875
2021-01-15,Adj Close,6758.T,10508.314453125
2021-01-18,Adj Close,6758.T,10428.7060546875
2021-01-19,Adj Close,6758.T,10553.0947265625
2021-01-20,Adj Close,6758.T,10538.16796875
2021-01-21,Adj Close,6758.T,10553.0947265625
2021-01-22,Adj Close,6758.T,10428.7060546875
2021-01-25,Adj Close,6758.T,10249.587890625
2021-01-26,Adj Close,6758.T,10234.6611328125
2021-01-27,Adj Close,6758.T,10219.734375
2021-01-28,Adj Close,6758.T,9985.8837890625
2021-01-29,Adj Close,6758.T,10000.8115234375
2021-02-01,Adj Close,6758.T,10105.2978515625
2021-02-02,Adj Close,6758.T,10413.7802734375
2021-02-03,Adj Close,6758.T,10582.9482421875
2021-02-04,Adj Close,6758.T,11592.9794921875
2021-02-05,Adj Close,6758.T,12389.064453125
2021-02-08,Adj Close,6758.T,12035.8017578125
2021-02-09,Adj Close,6758.T,11767.123046875
2021-02-10,Adj Close,6758.T,11931.31640625
2021-02-12,Adj Close,6758.T,11787.025390625
2021-02-15,Adj Close,6758.T,11911.4130859375
2021-02-16,Adj Close,6758.T,12180.091796875
2021-02-17,Adj Close,6758.T,12140.2880859375
2021-02-18,Adj Close,6758.T,11941.2666015625
2021-02-19,Adj Close,6758.T,11906.4384765625
2021-02-22,Adj Close,6758.T,11921.365234375
2021-02-24,Adj Close,6758.T,11269.5703125
2021-02-25,Adj Close,6758.T,11513.37109375
2021-02-26,Adj Close,6758.T,11065.57421875
2021-03-01,Adj Close,6758.T,11349.1787109375
2021-03-02,Adj Close,6758.T,11289.4736328125
2021-03-03,Adj Close,6758.T,11274.5458984375
2021-03-04,Adj Close,6758.T,10990.94140625
2021-03-05,Adj Close,6758.T,11160.109375
2021-03-08,Adj Close,6758.T,10966.0634765625
2021-03-09,Adj Close,6758.T,10757.0908203125
2021-03-10,Adj Close,6758.T,10946.1611328125
2021-03-11,Adj Close,6758.T,10956.1123046875
2021-03-12,Adj Close,6758.T,11274.5458984375
2021-03-15,Adj Close,6758.T,11344.203125
2021-03-16,Adj Close,6758.T,11528.298828125
2021-03-17,Adj Close,6758.T,11518.3466796875
2021-03-18,Adj Close,6758.T,11573.078125
2021-03-19,Adj Close,6758.T,11498.4453125
2021-03-22,Adj Close,6758.T,11403.91015625
2021-03-23,Adj Close,6758.T,11473.5673828125
2021-03-24,Adj Close,6758.T,11170.0595703125
2021-03-25,Adj Close,6758.T,11160.109375
2021-03-26,Adj Close,6758.T,11379.0322265625
2021-03-29,Adj Close,6758.T,11578.0537109375
2021-03-30,Adj Close,6758.T,11468.3095703125
2021-03-31,Adj Close,6758.T,11568.0771484375
2021-04-01,Adj Close,6758.T,11622.94921875
2021-04-02,Adj Close,6758.T,12171.671875
2021-04-05,Adj Close,6758.T,12301.3701171875
2021-04-06,Adj Close,6758.T,12051.951171875
2021-04-07,Adj Close,6758.T,12136.7529296875
2021-04-08,Adj Close,6758.T,11872.369140625
2021-04-09,Adj Close,6758.T,12201.6025390625
2021-04-12,Adj Close,6758.T,12146.73046875
2021-04-13,Adj Close,6758.T,12151.71875
2021-04-14,Adj Close,6758.T,12161.6953125
2021-04-15,Adj Close,6758.T,12176.66015625
2021-04-16,Adj Close,6758.T,12051.951171875
2021-04-19,Adj Close,6758.T,11962.16015625
2021-04-20,Adj Close,6758.T,11837.4501953125
2021-04-21,Adj Close,6758.T,11548.123046875
2021-04-22,Adj Close,6758.T,11692.787109375
2021-04-23,Adj Close,6758.T,11812.5078125
2021-04-26,Adj Close,6758.T,11672.8330078125
2021-04-27,Adj Close,6758.T,11423.4140625
2021-04-28,Adj Close,6758.T,11782.578125
2021-04-30,Adj Close,6758.T,10874.6904296875
2021-05-06,Adj Close,6758.T,10690.1201171875
2021-05-07,Adj Close,6758.T,10445.689453125
2021-05-10,Adj Close,6758.T,10754.9697265625
2021-05-11,Adj Close,6758.T,10375.8515625
2021-05-12,Adj Close,6758.T,10276.083984375
2021-05-13,Adj Close,6758.T,9965.8056640625
2021-05-14,Adj Close,6758.T,10201.2578125
2021-05-17,Adj Close,6758.T,10306.0146484375
2021-05-18,Adj Close,6758.T,10296.037109375
2021-05-19,Adj Close,6758.T,10395.8056640625
2021-05-20,Adj Close,6758.T,10450.677734375
2021-05-21,Adj Close,6758.T,10500.5615234375
2021-05-24,Adj Close,6758.T,10485.5966796875
2021-05-25,Adj Close,6758.T,10730.02734375
2021-05-26,Adj Close,6758.T,10675.1552734375
2021-05-27,Adj Close,6758.T,10774.9228515625
2021-05-28,Adj Close,6758.T,10944.5283203125
2021-05-31,Adj Close,6758.T,10759.9580078125
2021-06-01,Adj Close,6758.T,10804.853515625
2021-06-02,Adj Close,6758.T,10779.9111328125
2021-06-03,Adj Close,6758.T,10829.794921875
2021-06-04,Adj Close,6758.T,10894.64453125
